config,n_models,reference_mean_reward,reference_std_between_models,surprise_mean_reward,surprise_std_between_models,reward_gap,reference_success_rate,surprise_success_rate,success_rate_gap,reference_service_rate,surprise_service_rate,service_rate_gap,degradation_pct,generalization_status
A,5,-78.66980000000001,11.784801725103403,-84.1668,6.643377695118652,-5.496999999999997,0.9175678513162309,0.9196548988496629,0.0020870475334319404,0.9175678513162309,0.9196548988496629,0.0020870475334319404,0.06987433551375492,Generalização moderada (queda de 5% a 15%)
B,5,-136.2846,10.358307839603924,-158.10000000000002,1.8434157154586834,-21.815400000000004,0.9177894021722228,0.9197738992463307,0.0019844970741079715,0.9177894021722228,0.9197738992463307,0.0019844970741079715,0.16007237795026,Degradação severa (queda acima de 15%)
C,5,-112.65299999999999,16.919519526274975,-127.25220000000002,9.496105633363594,-14.599200000000007,0.9121824829953663,0.9133280444268147,0.001145561431448483,0.9121824829953663,0.9133280444268147,0.001145561431448483,0.12959441825783607,Generalização moderada (queda de 5% a 15%)
