config,n_models,reference_mean_reward,reference_std_between_models,surprise_mean_reward,surprise_std_between_models,reward_gap,reference_success_rate,surprise_success_rate,success_rate_gap,reference_service_rate,surprise_service_rate,service_rate_gap,degradation_pct,generalization_status
A,5,-78.66980000000001,11.784801725103403,-75.525,5.817307366814993,3.1448000000000036,0.9175678513162309,0.9252800484408115,0.007712197124580489,0.9175678513162309,0.9252800484408115,0.007712197124580489,-0.039974678974651054,Boa generalização (sem queda)
B,5,-136.2846,10.358307839603924,-137.6962,1.1706601556386882,-1.4115999999999758,0.9177894021722228,0.925320415783631,0.007531013611408177,0.9177894021722228,0.925320415783631,0.007531013611408177,0.01035773667751144,Boa generalização (queda até 5%)
C,5,-112.65299999999999,16.919519526274975,-112.4,6.239318392260485,0.2530000000000001,0.9121824829953663,0.920113028559895,0.007930545564528768,0.9121824829953663,0.920113028559895,0.007930545564528768,-0.002245834553895592,Boa generalização (sem queda)
